beta,alpha,delta
0.1996,0.13868,0.027536
0.7136100000000001,0.27726999999999996,0.028895999999999998
0.62278,0.31801,0.029608999999999996
0.62088,0.23251999999999998,0.045739999999999996
0.63112,0.24278000000000002,0.020694
0.71027,0.45929,0.016901
0.3041,0.12579,0.038396
0.70965,0.30201,0.038717
0.26769,0.13821,0.025199
0.24399,0.1319,0.048907
0.43604,0.11654,0.019213
0.15787,0.10216,0.042663
0.62938,0.23733,0.011724
0.65361,0.35769,0.010286
0.6815899999999999,0.54227,0.043983999999999995
0.24369000000000002,0.16459000000000001,0.045183
0.17836,0.10665999999999999,0.011912
0.7981199999999999,0.47846000000000005,0.026558
0.69694,0.57329,0.02415
0.44038,0.19224000000000002,0.0408
0.30774,0.1507,0.047055
0.5884199999999999,0.48328999999999994,0.021516
0.24445999999999998,0.19199000000000002,0.047782
0.66983,0.14661,0.027458999999999997
0.38321,0.12043,0.033169
0.43878,0.36846,0.024301
0.45418000000000003,0.27697,0.037618
0.32361999999999996,0.1739,0.033063
0.59307,0.18633,0.045942000000000004
0.74845,0.33077,0.04013
0.46415,0.16799,0.011420999999999999
0.79807,0.35076999999999997,0.011932
0.61545,0.39937,0.038725
0.50973,0.34131,0.039401
0.27459,0.17632,0.013225
0.61011,0.42098,0.022775
0.24104,0.1894,0.014309
0.76288,0.47895,0.038787999999999996
0.28007,0.22418000000000002,0.020875
0.6473399999999999,0.53838,0.013500999999999999
0.77909,0.15458,0.049273000000000004
0.72145,0.49983999999999995,0.047841
0.48323,0.1945,0.022938
0.15575999999999998,0.1014,0.02624
0.15484,0.10285,0.041852999999999994
0.58758,0.11961,0.037351
0.27453,0.2203,0.041449
0.45692,0.32034,0.048216
0.72341,0.5120899999999999,0.037021
0.76055,0.59651,0.046383999999999995
0.7370899999999999,0.59724,0.012578
0.26669,0.15262,0.010818000000000001
0.47523999999999994,0.30054000000000003,0.017509
0.37053,0.14605,0.025355000000000003
0.16452,0.10872000000000001,0.045606
0.35334,0.14538,0.048624
0.78781,0.20443,0.02078
0.5148199999999999,0.24374,0.044329
0.23653000000000002,0.18495999999999999,0.031830000000000004
0.6039899999999999,0.13984000000000002,0.041092000000000004
0.57399,0.31027,0.026719
0.48531,0.14228,0.02978
0.44068,0.37294,0.035476
0.7373,0.59207,0.022517
0.24425999999999998,0.16352,0.038865
0.44138,0.15369000000000002,0.049014
0.5102899999999999,0.22074000000000002,0.015263999999999998
0.77618,0.13760999999999998,0.01986
0.19448,0.142,0.019321
0.41263999999999995,0.22014,0.033744
0.7872,0.17162,0.03865
0.78338,0.19127,0.010213
0.17602,0.11749000000000001,0.037956000000000004
0.50137,0.35808,0.042689
0.5959300000000001,0.37091999999999997,0.018657
0.5330699999999999,0.30236999999999997,0.027437
0.62843,0.10187,0.028185
0.38661,0.23578000000000002,0.011132
0.77468,0.56917,0.049901
0.60049,0.45397,0.02595
0.23084000000000002,0.1299,0.014112999999999999
0.74165,0.34611,0.027355
0.20371,0.12935,0.038232
0.15122,0.10109,0.028738999999999997
0.60653,0.18583,0.025457
0.57724,0.31204,0.017255
0.57003,0.36765,0.044752999999999994
0.50877,0.19303,0.040979
0.6596,0.36546,0.024378
0.6529699999999999,0.29164,0.020759
0.5939300000000001,0.22421999999999997,0.042731
0.25832,0.20367000000000002,0.030376
0.3374,0.17246,0.029213999999999997
0.27564,0.20152,0.010864
0.37245,0.1909,0.040050999999999996
0.16625,0.11159000000000001,0.011677
0.22136,0.15114,0.034046
0.3608,0.20933000000000002,0.036470999999999996
0.58692,0.2368,0.046744
0.15852,0.10237,0.028100999999999998
0.5251600000000001,0.10386,0.013611000000000002
0.25638,0.14544,0.026723
0.73427,0.27724,0.037329
0.2383,0.18783,0.011167
0.44373999999999997,0.3547,0.033760000000000005
0.36951999999999996,0.28155,0.031279
0.65667,0.33216,0.037221
0.70758,0.34005,0.010793
0.31203000000000003,0.13664,0.025805
0.54933,0.4736,0.020732
0.17638,0.10136,0.046831
0.54151,0.12047999999999999,0.022244999999999997
0.64537,0.27018000000000003,0.040161
0.47279,0.41206000000000004,0.043951
0.37806999999999996,0.25405,0.039205000000000004
0.5618,0.13921,0.013866
0.16838,0.10539000000000001,0.014763
0.6534399999999999,0.11195999999999999,0.03904
0.71691,0.55433,0.020628
0.79101,0.54699,0.044358999999999996
0.52576,0.27899,0.02034
0.46233,0.40575,0.021047
0.22515,0.16372,0.034898
0.68805,0.21773,0.035397000000000005
0.30074,0.11534000000000001,0.016239
0.7266,0.30157,0.024855000000000002
0.54991,0.22221999999999997,0.043963
0.33307,0.19952999999999999,0.023936000000000002
0.21238,0.10422999999999999,0.036067
0.27169,0.18495,0.014378
0.66032,0.13377,0.030133
0.26955999999999997,0.13107,0.036038
0.47298999999999997,0.27158000000000004,0.035121
0.59548,0.28293,0.010893
0.75959,0.54671,0.021769
0.55333,0.42973,0.019916
0.6249399999999999,0.45966999999999997,0.019278999999999998
0.21505,0.12647,0.044004
0.21927,0.12598,0.038991000000000005
0.1661,0.11269000000000001,0.044895
0.36096,0.26349,0.029464999999999998
0.24111999999999997,0.12369000000000001,0.011872
0.53901,0.46821,0.038915
0.40089,0.1687,0.039841
0.53828,0.41229,0.023018
0.17415999999999998,0.10328,0.040373
0.75467,0.16796,0.024051
0.24702,0.15564,0.019212
0.48089,0.39810999999999996,0.020717
0.24555,0.1235,0.04715
0.5315300000000001,0.19773,0.02866
0.69282,0.49793000000000004,0.017819
0.48708999999999997,0.12807000000000002,0.046820999999999995
0.43856999999999996,0.27941,0.03442
0.49444,0.43668,0.03885
0.28456,0.2282,0.014494
0.44015,0.36493000000000003,0.030093
0.49812,0.16652,0.025639999999999996
0.38535,0.17928,0.048301
0.67238,0.16942000000000002,0.011937999999999999
0.64955,0.20287,0.028383
0.18847,0.13717000000000001,0.017277
0.36307,0.29566,0.033768
0.31840999999999997,0.20127,0.015045
0.42563,0.2529,0.039836
0.64957,0.35859,0.01207
0.30856,0.11594000000000002,0.036968
0.70825,0.21151,0.033749
0.29894,0.13003,0.010920000000000001
0.64836,0.32334,0.044584
0.49201000000000006,0.26933,0.045866000000000004
0.60647,0.15752,0.017543
0.28486999999999996,0.19855,0.048681999999999996
0.17109000000000002,0.11232,0.024556
0.69095,0.11728,0.013272999999999998
0.52684,0.34451,0.039751999999999996
0.25687,0.20601,0.015382
0.61728,0.49313999999999997,0.016934
0.54991,0.17521,0.021656
0.26916,0.15553,0.035397000000000005
0.58332,0.11785999999999999,0.014993000000000001
0.47798999999999997,0.239,0.049287
0.7521800000000001,0.23458,0.048726
0.33960999999999997,0.27134,0.023587
0.68113,0.46358,0.011498
0.78783,0.46293999999999996,0.016007
0.40501,0.22396999999999997,0.015548
0.32377,0.13635,0.025598
0.4184,0.19816,0.023288999999999997
0.55519,0.18077000000000001,0.034303
0.50095,0.21159,0.021894999999999998
0.43228999999999995,0.13367,0.029124
0.34708,0.27742,0.032181
0.23611999999999997,0.17231,0.045472000000000005
0.2219,0.12812,0.013404
0.60388,0.18339,0.0287
0.42178999999999994,0.26300999999999997,0.020474000000000003
0.26753000000000005,0.14606,0.024051
0.20252,0.14685,0.037172000000000004
0.70549,0.59647,0.034661000000000004
0.57622,0.1464,0.032138
0.6897399999999999,0.58462,0.043827
0.62858,0.42688000000000004,0.020713
0.7628699999999999,0.60288,0.049223
0.41005,0.33589,0.01495
0.6775800000000001,0.2984,0.034341
0.38975,0.22959000000000002,0.01608
0.72629,0.34045,0.022333000000000002
0.19150999999999999,0.13689,0.030024000000000002
0.5563899999999999,0.41546000000000005,0.016583
0.29803,0.19327,0.015618
0.1562,0.1007,0.040842
0.61328,0.3215,0.045598
0.65666,0.30325,0.029272000000000003
0.78567,0.13101,0.047154
0.50567,0.4075,0.037795
0.15020999999999998,0.10019,0.020393
0.39985,0.14618,0.040385000000000004
0.4267,0.22039,0.018248
0.4336,0.21178000000000002,0.021118
0.45408999999999994,0.25175,0.043988
0.45053999999999994,0.12695,0.036486000000000005
0.67357,0.39083,0.049062
0.72844,0.20825,0.026262
0.46802,0.14398,0.032368
0.30874,0.14898,0.015096
0.40004,0.23648000000000002,0.020462
0.64768,0.23676,0.040842
0.20953000000000002,0.15265,0.035386
0.38961,0.24564,0.033378
0.3905,0.32524000000000003,0.021346
0.42907,0.34826999999999997,0.018928
0.25367,0.14565999999999998,0.032841
0.47702,0.42068999999999995,0.024059999999999998
0.71041,0.39702,0.022186
0.3882,0.28725,0.049722
0.6806800000000001,0.19097999999999998,0.043729000000000004
0.68288,0.5223300000000001,0.014497
0.5028600000000001,0.24398000000000003,0.025755
0.27833,0.16277,0.040349
0.52152,0.24756999999999998,0.025595
0.30805,0.21600999999999998,0.022153
0.35125,0.22228,0.028472000000000004
0.20756999999999998,0.11092,0.04819
0.79867,0.40173000000000003,0.024907
0.24716,0.11512,0.028472000000000004
0.37025,0.24954,0.014141999999999998
0.48428999999999994,0.15758,0.047222
0.55003,0.28281999999999996,0.035799
0.5735100000000001,0.19751,0.021912
0.16735,0.10025,0.026851999999999997
0.7642,0.59349,0.037328
0.50989,0.35698,0.04862
0.29649000000000003,0.20689000000000002,0.019622999999999998
0.27208000000000004,0.13792000000000001,0.024776
0.19985,0.12850999999999999,0.033464999999999995
0.28501,0.13939000000000001,0.025337000000000002
0.4192,0.24076999999999998,0.047516
0.69968,0.49617,0.017792
0.25031,0.13882,0.012123
0.46001000000000003,0.17889000000000002,0.037654
0.76285,0.64186,0.021439
0.78727,0.25933,0.039662
